id,work_year,experience_level,employment_type,job_title,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2020,Mid Level,Full Time,Data Scientist,79833,DE,on_site,DE,L
1,2020,Senior Level,Full Time,Machine Learning Scientist,260000,JP,on_site,JP,S
2,2020,Senior Level,Full Time,Big Data Engineer,109024,GB,partially_remotly,GB,M
3,2020,Mid Level,Full Time,Product Data Analyst,20000,HN,on_site,HN,S
4,2020,Senior Level,Full Time,Machine Learning Engineer,150000,US,partially_remotly,US,L
5,2020,Entry Level,Full Time,Data Analyst,72000,US,fully_remote,US,L
6,2020,Senior Level,Full Time,Lead Data Scientist,190000,US,fully_remote,US,S
7,2020,Mid Level,Full Time,Data Scientist,35735,HU,partially_remotly,HU,L
8,2020,Mid Level,Full Time,BI Data Analyst,135000,US,fully_remote,US,L
9,2020,Senior Level,Full Time,Lead Data Engineer,125000,NZ,partially_remotly,NZ,S
10,2020,Entry Level,Full Time,Data Scientist,51321,FR,on_site,FR,S
11,2020,Mid Level,Full Time,Data Scientist,40481,IN,on_site,IN,L
12,2020,Entry Level,Full Time,Data Scientist,39916,FR,on_site,FR,M
13,2020,Mid Level,Full Time,Lead Data Analyst,87000,US,fully_remote,US,L
14,2020,Mid Level,Full Time,Data Analyst,85000,US,fully_remote,US,L
15,2020,Mid Level,Full Time,Data Analyst,8000,PK,partially_remotly,PK,L
16,2020,Entry Level,Full Time,Data Engineer,41689,JP,fully_remote,JP,S
17,2020,Senior Level,Full Time,Big Data Engineer,114047,PL,fully_remote,GB,S
18,2020,Entry Level,Full Time,Data Science Consultant,5707,IN,partially_remotly,IN,M
19,2020,Mid Level,Full Time,Lead Data Engineer,56000,PT,fully_remote,US,M
20,2020,Mid Level,Full Time,Machine Learning Engineer,43331,CN,on_site,CN,M
21,2020,Mid Level,Full Time,Product Data Analyst,6072,IN,fully_remote,IN,L
22,2020,Senior Level,Full Time,Data Engineer,47899,GR,partially_remotly,GR,L
23,2020,Mid Level,Full Time,BI Data Analyst,98000,US,on_site,US,M
24,2020,Mid Level,Full Time,Lead Data Scientist,115000,AE,on_site,AE,L
25,2020,Expert Level,Full Time,Director of Data Science,325000,US,fully_remote,US,L
26,2020,Entry Level,Full Time,Research Scientist,42000,NL,partially_remotly,NL,L
27,2020,Senior Level,Full Time,Data Engineer,33511,MX,on_site,MX,S
28,2020,Entry Level,Contract,BI Data Analyst,100000,US,fully_remote,US,L
29,2020,Senior Level,Full Time,Machine Learning Manager,117104,CA,partially_remotly,CA,L
30,2020,Mid Level,Full Time,Data Engineering Manager,59303,DE,fully_remote,DE,S
31,2020,Entry Level,Full Time,Big Data Engineer,70000,US,fully_remote,US,L
32,2020,Senior Level,Full Time,Data Scientist,68428,GR,fully_remote,US,L
33,2020,Mid Level,Full Time,Research Scientist,450000,US,on_site,US,M
34,2020,Mid Level,Full Time,Data Analyst,46759,FR,partially_remotly,FR,L
35,2020,Mid Level,Full Time,Data Engineer,74130,AT,partially_remotly,AT,L
36,2020,Mid Level,Full Time,Data Science Consultant,103000,US,fully_remote,US,L
37,2020,Entry Level,Full Time,Machine Learning Engineer,250000,US,partially_remotly,US,L
38,2020,Entry Level,Full Time,Data Analyst,10000,NG,fully_remote,NG,S
39,2020,Entry Level,Full Time,Machine Learning Engineer,138000,US,fully_remote,US,S
40,2020,Mid Level,Full Time,Data Scientist,45760,PH,fully_remote,US,S
41,2020,Expert Level,Full Time,Data Engineering Manager,79833,ES,partially_remotly,ES,L
42,2020,Mid Level,Full Time,Machine Learning Infrastructure Engineer,50180,PT,on_site,PT,M
43,2020,Mid Level,Full Time,Data Engineer,106000,US,fully_remote,US,L
44,2020,Mid Level,Full Time,Data Engineer,112872,GB,partially_remotly,GB,L
45,2020,Entry Level,Part Time,ML Engineer,15966,DE,fully_remote,DE,S
46,2020,Mid Level,Full Time,Data Scientist,76958,GB,fully_remote,GB,S
47,2020,Senior Level,Full Time,Data Engineer,188000,US,fully_remote,US,L
48,2020,Mid Level,Full Time,Data Scientist,105000,US,fully_remote,US,L
49,2020,Mid Level,Full Time,Data Engineer,70139,FR,partially_remotly,FR,L
50,2020,Entry Level,Full Time,Data Analyst,6072,IN,on_site,IN,S
51,2020,Entry Level,Full Time,Data Analyst,91000,US,fully_remote,US,L
52,2020,Entry Level,Full Time,AI Scientist,45896,DK,partially_remotly,DK,S
53,2020,Entry Level,Full Time,Data Engineer,54742,PK,fully_remote,DE,L
54,2020,Senior Level,Freelance,Computer Vision Engineer,60000,RU,fully_remote,US,S
55,2020,Senior Level,Full Time,Principal Data Scientist,148261,DE,fully_remote,DE,M
56,2020,Mid Level,Full Time,Data Scientist,38776,ES,fully_remote,ES,M
57,2020,Mid Level,Full Time,Data Scientist,118000,US,fully_remote,US,M
58,2020,Senior Level,Full Time,Data Scientist,120000,US,partially_remotly,US,L
59,2020,Mid Level,Full Time,Data Scientist,138350,US,fully_remote,US,M
60,2020,Mid Level,Full Time,Data Engineer,110000,US,fully_remote,US,L
61,2020,Mid Level,Full Time,Data Engineer,130800,ES,fully_remote,US,M
62,2020,Entry Level,Part Time,Data Scientist,21669,IT,partially_remotly,IT,S
63,2020,Senior Level,Full Time,Data Scientist,412000,US,fully_remote,US,L
64,2020,Senior Level,Full Time,Machine Learning Engineer,45618,HR,fully_remote,HR,S
65,2020,Entry Level,Full Time,Data Scientist,62726,DE,partially_remotly,DE,S
66,2020,Entry Level,Full Time,Data Scientist,49268,DE,on_site,DE,S
67,2020,Senior Level,Full Time,Data Science Manager,190200,US,fully_remote,US,M
68,2020,Entry Level,Full Time,Data Scientist,105000,US,fully_remote,US,S
69,2020,Senior Level,Full Time,Data Scientist,91237,AT,on_site,AT,S
70,2020,Mid Level,Full Time,Data Scientist,62726,FR,partially_remotly,LU,S
71,2020,Mid Level,Full Time,Data Scientist,42197,FR,partially_remotly,FR,S
72,2021,Entry Level,Full Time,Research Scientist,82528,GB,partially_remotly,GB,L
73,2021,Expert Level,Full Time,BI Data Analyst,150000,IN,fully_remote,US,L
74,2021,Expert Level,Full Time,Head of Data,235000,US,fully_remote,US,L
75,2021,Senior Level,Full Time,Data Scientist,53192,FR,partially_remotly,FR,L
76,2021,Mid Level,Full Time,BI Data Analyst,100000,US,fully_remote,US,M
77,2021,Mid Level,Part Time,3D Computer Vision Researcher,5409,IN,partially_remotly,IN,M
78,2021,Mid Level,Contract,ML Engineer,270000,US,fully_remote,US,L
79,2021,Entry Level,Full Time,Data Analyst,80000,US,fully_remote,US,M
